"CommonName,""AdmArea"",""District"",""Location"",""global_id"",""HasWater"",""HasPlayground"",""HasSportground"",""ParkWebSite"",""ParkPhone"",""WorkingHours"",""EntranceAdditionalInformation"",""DepartamentalAffiliationComp""";
"Общепринятое наименование,""Административный округ по адресу"",""Район"",""Описание месторасположения"",""global_id"",""Наличие водоема"",""Наличие детских площадок"",""Наличие спортивных площадок"",""Сайт парковой территории"",""Телефон парковой территории"",""График работы парковой территории"",""Дополнительная информация о входе на территорию"",""Ведомственная принадлежность (Departamental affiliation)""";
"Памятник садово-паркового искусства – «Парк Дворца творчества детей и юношества» по адресу ул.Косыгина д.17,""Юго-Западный административный округ"",""Гагаринский район"",""Главный вход в парк расположен со стороны улицы Косыгина, рельеф местности спокойный, резкопересечённый, с перепадом высот до 30 м, площадки и дорожки выложены плиткой и асфальтом, за корпусами расположен парк с многолетними деревьями"",""4331740"",""да"",""нет"",""да"",""vg.mskobr.ru"",""ParkPhone:(499) 137-73-91";
;
,DayOfWeek:понедельник;
Hours:06:00-00:00;
;
DayOfWeek:вторник;
Hours:06:00-00:00;
;
DayOfWeek:среда;
Hours:06:00-00:00;
;
DayOfWeek:четверг;
Hours:06:00-00:00;
;
DayOfWeek:пятница;
Hours:06:00-00:00;
;
DayOfWeek:суббота;
Hours:06:00-00:00;
;
DayOfWeek:воскресенье;
Hours:06:00-00:00;
;
",1. Комплекс """"Дворец Пионеров и школьников им. 40-летия Всесоюзной пионерской организации"""", архитектор В.С. Егерев, Ф.А. Новиков, Б.В. Палуй, И.А. Покровский, М.Н. Хажакян 1962г.";
2. Территория парка закрывается в ночное время с 24:00 до 6:00.;
"3. Выгул собак на территории без поводка и намордника запрещён."",""Департамент образования и науки города Москвы""";
"Природно-исторический парк «Битцевский лес»,""Юго-Западный административный округ"",""район Ясенево"",""Восточная часть района Ясенево"",""4331744"",""да"",""да"",""да"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:08:00-22:00;
;
DayOfWeek:вторник;
Hours:08:00-22:00;
;
DayOfWeek:среда;
Hours:08:00-22:00;
;
DayOfWeek:четверг;
Hours:08:00-22:00;
;
DayOfWeek:пятница;
Hours:08:00-22:00;
;
DayOfWeek:суббота;
Hours:08:00-22:00;
;
DayOfWeek:воскресенье;
Hours:08:00-22:00;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Тушинский»,""Северо-Западный административный округ"",""[район Куркино, район Митино, район Северное Тушино, район Южное Тушино]"",""улица Вилиса Лациса, дом 18, корпус 3"",""4331745"",""да"",""да"",""да"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:08:00-22:00;
;
DayOfWeek:вторник;
Hours:08:00-22:00;
;
DayOfWeek:среда;
Hours:08:00-22:00;
;
DayOfWeek:четверг;
Hours:08:00-22:00;
;
DayOfWeek:пятница;
Hours:08:00-22:00;
;
DayOfWeek:суббота;
Hours:08:00-22:00;
;
DayOfWeek:воскресенье;
Hours:08:00-22:00;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Ландшафтный заказник «Тропарёвский»,""Западный административный округ"",""район Тропарёво-Никулино"",""между МКАД и улицей Академика Анохина, Тропаревской улицей и Востряковским шоссе"",""4331751"",""да"",""да"",""да"",""mospriroda.ru"",""ParkPhone:(499) 739-27-05";
;
,DayOfWeek:понедельник;
Hours:08:00-22:00;
;
DayOfWeek:вторник;
Hours:08:00-22:00;
;
DayOfWeek:среда;
Hours:08:00-22:00;
;
DayOfWeek:четверг;
Hours:08:00-22:00;
;
DayOfWeek:пятница;
Hours:08:00-22:00;
;
DayOfWeek:суббота;
Hours:08:00-22:00;
;
DayOfWeek:воскресенье;
Hours:08:00-22:00;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Кузьминки-Люблино»,""Юго-Восточный административный округ"",""район Кузьминки"",""Кузьминская улица, дом 10"",""4331755"",""да"",""да"",""да"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:круглосуточно;
;
DayOfWeek:вторник;
Hours:круглосуточно;
;
DayOfWeek:среда;
Hours:круглосуточно;
;
DayOfWeek:четверг;
Hours:круглосуточно;
;
DayOfWeek:пятница;
Hours:круглосуточно;
;
DayOfWeek:суббота;
Hours:круглосуточно;
;
DayOfWeek:воскресенье;
Hours:круглосуточно;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Царицыно»,""Южный административный округ"",""[район Бирюлёво Восточное, район Братеево, район Москворечье-Сабурово, район Орехово-Борисово Северное, район Орехово-Борисово Южное]"",""между Липецкой улицей, владение 5А и Шипиловским проездом, до улицы Борисовских Прудов, напротив дома 16"",""4331759"",""да"",""да"",""да"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:08:00-22:00;
;
DayOfWeek:вторник;
Hours:08:00-22:00;
;
DayOfWeek:среда;
Hours:08:00-22:00;
;
DayOfWeek:четверг;
Hours:08:00-22:00;
;
DayOfWeek:пятница;
Hours:08:00-22:00;
;
DayOfWeek:суббота;
Hours:08:00-22:00;
;
DayOfWeek:воскресенье;
Hours:08:00-22:00;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Останкино»,""Северо-Восточный административный округ"",""Останкинский район"",""1-я Останкинская улица, дом 1, строение 1"",""4331762"",""да"",""нет"",""нет"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:08:00-23:00;
;
DayOfWeek:вторник;
Hours:08:00-23:00;
;
DayOfWeek:среда;
Hours:08:00-23:00;
;
DayOfWeek:четверг;
Hours:08:00-23:00;
;
DayOfWeek:пятница;
Hours:08:00-23:00;
;
DayOfWeek:суббота;
Hours:08:00-23:00;
;
DayOfWeek:воскресенье;
Hours:08:00-23:00;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Измайлово»,""Восточный административный округ"",""[район Восточное Измайлово, район Ивановское, район Измайлово, район Перово, район Северное Измайлово, район Соколиная Гора]"",""лесопарк Измайловский"",""4331764"",""да"",""да"",""да"",""mospriroda.ru"","""",""DayOfWeek:понедельник";
Hours:круглосуточно;
;
DayOfWeek:вторник;
Hours:круглосуточно;
;
DayOfWeek:среда;
Hours:круглосуточно;
;
DayOfWeek:четверг;
Hours:круглосуточно;
;
DayOfWeek:пятница;
Hours:круглосуточно;
;
DayOfWeek:суббота;
Hours:круглосуточно;
;
DayOfWeek:воскресенье;
Hours:круглосуточно;
;
","",Департамент природопользования и охраны окружающей среды города Москвы""";
"Природно-исторический парк «Косинский»,""Восточный административный округ"",""район Косино-Ухтомский"",""Черное озеро, Белое озеро, устье реки Рудневки"",""4331765"",""да"",""да"",""да"",""mospriroda.ru"",""ParkPhone:(499) 739-27-05";
;
,DayOfWeek:понедельник;
Hours:круглосуточно;
;
DayOfWeek:вторник;
Hours:круглосуточно;
;
DayOfWeek:среда;
Hours:круглосуточно;
;
DayOfWeek:четверг;
Hours:круглосуточно;
;
DayOfWeek:пятница;
Hours:круглосуточно;
;
